Node1	Node2	AdamicAdar	WeightedKatz	IsEdge	BonCen1	BonCen2	StatusDiff
34619	51490	4.02551651696	13.5375	1	0.002277	0.001154	0.001123
34169	34200	1.6269233907	5.415	1	0.007029	0.01809	0.011061
33398	33427	0.687165292282	1.805	1	0.000927	0.000118	0.000809
34955	35077	0.697525813161	3.61	1	0.043523	0.002544	0.040979
49516	51581	15.2451646601	76.7125	1	0.068845	0.042473	0.026372
41962	42514	1.65164560834	5.415	1	0.001295	0.000533	0.000762
33122	39347	1.91512056066	6.3175	1	0.000345	0.000345	0
30906	48493	8.32663739977	37.905	1	0.118803	0.017743	0.10106
39525	45699	2.83233151404	13.5375	1	0.036277	0.007407	0.02887
44061	51381	4.90883864187	22.5625	1	0.013678	0.037321	0.023643
31718	37667	5.32600414036	26.1725	1	0.014276	0.057476	0.0432
33411	40602	0.622407688569	2.7075	1	0.00179	0.031324	0.029534
42652	42887	0.763630490241	3.61	1	0.000898	0.005524	0.004626
39835	40809	1.83986764405	3.61	1	0.003271	0.001145	0.002126
33809	36173	14.4827230061	70.395	1	0.055028	0.042117	0.012911
34841	47972	4.09847137523	9.9275	1	0.000343	0.001517	0.001174
32151	43801	22.7787072564	111.91	1	0.075941	0.065581	0.01036
44866	49044	4.38473210892	18.05	1	0.006454	0.054055	0.047601
33081	33839	1.20336533483	5.415	1	0.001258	0.015043	0.013785
48438	51112	2.46121513964	7.22	1	0.000689	0.002354	0.001665
33809	42407	5.78768860901	26.1725	1	0.055028	0.012735	0.042293
33553	38093	3.75755131987	14.44	1	0.002206	0.040328	0.038122
42426	45107	3.11163699404	8.1225	1	0.015093	0.005036	0.010057
32508	39947	8.83727080986	43.32	1	0.078891	0.021905	0.056986
38436	50066	2.41620016596	7.22	1	0.014361	0.000543	0.013818
40602	48916	1.9471720544	4.5125	1	0.031324	0.001141	0.030183
43269	43742	4.7876549831	17.1475	1	0.001759	0.001759	0
32033	37553	0.388374283813	1.805	1	0.003737	0.000337	0.0034
32090	40235	6.04572608521	26.1725	1	0.011673	0.039235	0.027562
40314	41021	1.33865798663	4.5125	1	0.000446	0.000255	0.000191
42650	43856	6.0213919164	25.27	1	0.020462	0.017969	0.002493
36120	48568	14.0935603826	70.395	1	0.057557	0.054405	0.003152
38927	41039	4.70405052981	14.44	1	0.005039	0.007973	0.002934
44021	47769	3.54807121977	9.9275	1	0.00023	0.00023	0
38024	48477	2.16404256133	2.7075	1	0	0	0
36574	36757	2.21860406517	9.025	1	0.001634	0.013142	0.011508
34955	44401	2.81837842501	9.9275	1	0.043523	0.004257	0.039266
37918	51903	2.76224338596	5.415	1	0.00068	1.9e-05	0.000661
